------+---------------------------------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
 Line | # File                                 Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code
------+---------------------------------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
    1 |  1                             dma.s      1 | Comment     | 11 |         |    0 | 00/0000               | ;
    2 |  1                             dma.s      2 | Comment     | 11 |         |    0 | 00/0000               | ;  Foenix Bitmap Example in Merlin32
    3 |  1                             dma.s      3 | Comment     | 11 |         |    0 | 00/0000               | ;
    4 |  1                             dma.s      4 | Comment     | 11 |         |    0 | 00/0000               | ; $00:2000 - $00:7FFF are free for application use.
    5 |  1                             dma.s      5 | Comment     | 11 |         |    0 | 00/0000               | ;
    6 |  1                             dma.s      6 | Directive   | 11 |         |    0 | 00/0000               |                          rel                        ; relocatable
    7 |  1                             dma.s      7 | Directive   | 11 |         |    0 | 00/0000               |                          lnk   Main.l               
    8 |  1                             dma.s      8 | Empty       | 11 |         |    0 | 00/0000               |                                                     
    9 |  1                             dma.s      9 | Directive   | 11 |         |    0 | 00/0000               |                          use   Util.Macs            
   10 |  1                             dma.s     10 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   11 |  1                             dma.s     11 | Comment     | 11 |         |    0 | 00/0000               | ; Phoenix Machine includes - Merlin32 doesn't support nested includes
   12 |  1                             dma.s     12 | Comment     | 11 |         |    0 | 00/0000               | ; (SHAME!)
   13 |  1                             dma.s     13 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   14 |  1                             dma.s     14 | Comment     | 11 |         |    0 | 00/0000               | 		; Vicky
   15 |  1                             dma.s     15 | Directive   | 11 |         |    0 | 00/0000               |                          use   phx/vicky_ii_def.asm 
   16 |  2              phx/vicky_ii_def.asm      1 | Comment     | 11 |         |    0 | 00/0000               | ;
   17 |  2              phx/vicky_ii_def.asm      2 | Comment     | 11 |         |    0 | 00/0000               | ; Internal VICKY Registers and Internal Memory Locations (LUTs)
   18 |  2              phx/vicky_ii_def.asm      3 | Comment     | 11 |         |    0 | 00/0000               | ;
   19 |  2              phx/vicky_ii_def.asm      4 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   20 |  2              phx/vicky_ii_def.asm      5 | Equivalence | 11 |         |    0 | 00/0000               | MASTER_CTRL_REG_L        =     $AF0000              
   21 |  2              phx/vicky_ii_def.asm      6 | Comment     | 11 |         |    0 | 00/0000               | ;Control Bits Fields
   22 |  2              phx/vicky_ii_def.asm      7 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_Text_Mode_En   =     $01                  ; Enable the Text Mode
   23 |  2              phx/vicky_ii_def.asm      8 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_Text_Overlay   =     $02                  ; Enable the Overlay of the text mode on top of Graphic Mode (the Background Color is ignored)
   24 |  2              phx/vicky_ii_def.asm      9 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_Graph_Mode_En  =     $04                  ; Enable the Graphic Mode
   25 |  2              phx/vicky_ii_def.asm     10 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_Bitmap_En      =     $08                  ; Enable the Bitmap Module In Vicky
   26 |  2              phx/vicky_ii_def.asm     11 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_TileMap_En     =     $10                  ; Enable the Tile Module in Vicky
   27 |  2              phx/vicky_ii_def.asm     12 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_Sprite_En      =     $20                  ; Enable the Sprite Module in Vicky
   28 |  2              phx/vicky_ii_def.asm     13 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_GAMMA_En       =     $40                  ; this Enable the GAMMA correction - The Analog and DVI have different color value, the GAMMA is great to correct the difference
   29 |  2              phx/vicky_ii_def.asm     14 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_Disable_Vid    =     $80                  ; This will disable the Scanning of the Video hence giving 100% bandwith to the CPU
   30 |  2              phx/vicky_ii_def.asm     15 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   31 |  2              phx/vicky_ii_def.asm     16 | Equivalence | 11 |         |    0 | 00/0000               | MASTER_CTRL_REG_H        =     $AF0001              
   32 |  2              phx/vicky_ii_def.asm     17 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_Video_Mode0    =     $01                  ; 0 - 640x480 (Clock @ 25.175Mhz), 1 - 800x600 (Clock @ 40Mhz)
   33 |  2              phx/vicky_ii_def.asm     18 | Equivalence | 11 |         |    0 | 00/0000               | Mstr_Ctrl_Video_Mode1    =     $02                  ; 0 - No Pixel Doubling, 1- Pixel Doubling (Reduce the Pixel Resolution by 2)
   34 |  2              phx/vicky_ii_def.asm     19 | Empty       | 11 |         |    0 | 00/0000               |                                                     
   35 |  2              phx/vicky_ii_def.asm     20 | Comment     | 11 |         |    0 | 00/0000               | ; Reserved - TBD
   36 |  2              phx/vicky_ii_def.asm     21 | Equivalence | 11 |         |    0 | 00/0000               | VKY_RESERVED_00          =     $AF0002              
   37 |  2              phx/vicky_ii_def.asm     22 | Equivalence | 11 |         |    0 | 00/0000               | VKY_RESERVED_01          =     $AF0003              
