------+----------------------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
 Line | # File                      Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code
------+----------------------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
    1 |  1 decompress_v2_fast.asm      1 | Comment     | 11 |         |    0 | 00/0000               | ; -----------------------------------------------------------------------------
    2 |  1 decompress_v2_fast.asm      2 | Comment     | 11 |         |    0 | 00/0000               | ; Decompress raw LZSA2 block.
    3 |  1 decompress_v2_fast.asm      3 | Comment     | 11 |         |    0 | 00/0000               | ; Create one with lzsa -r -f2 <original_file> <compressed_file>
    4 |  1 decompress_v2_fast.asm      4 | Comment     | 11 |         |    0 | 00/0000               | ;
    5 |  1 decompress_v2_fast.asm      5 | Comment     | 11 |         |    0 | 00/0000               | ; in:
    6 |  1 decompress_v2_fast.asm      6 | Comment     | 11 |         |    0 | 00/0000               | ; * sourcePtr contains the compressed raw block address
    7 |  1 decompress_v2_fast.asm      7 | Comment     | 11 |         |    0 | 00/0000               | ; * destPtr contains the destination buffer address
    8 |  1 decompress_v2_fast.asm      8 | Comment     | 11 |         |    0 | 00/0000               | ;
    9 |  1 decompress_v2_fast.asm      9 | Comment     | 11 |         |    0 | 00/0000               | ; Backward decompression is not supported
   10 |  1 decompress_v2_fast.asm     10 | Comment     | 11 |         |    0 | 00/0000               | ; -----------------------------------------------------------------------------
   11 |  1 decompress_v2_fast.asm     11 | Comment     | 11 |         |    0 | 00/0000               | ;
   12 |  1 decompress_v2_fast.asm     12 | Comment     | 11 |         |    0 | 00/0000               | ;  Copyright (C) 2019-2021 Emmanuel Marty, Peter Ferrie, Ian Brumby
   13 |  1 decompress_v2_fast.asm     13 | Comment     | 11 |         |    0 | 00/0000               | ;
   14 |  1 decompress_v2_fast.asm     14 | Comment     | 11 |         |    0 | 00/0000               | ;  This software is provided 'as-is', without any express or implied
   15 |  1 decompress_v2_fast.asm     15 | Comment     | 11 |         |    0 | 00/0000               | ;  warranty.  In no event will the authors be held liable for any damages
   16 |  1 decompress_v2_fast.asm     16 | Comment     | 11 |         |    0 | 00/0000               | ;  arising from the use of this software.
   17 |  1 decompress_v2_fast.asm     17 | Comment     | 11 |         |    0 | 00/0000               | ;
   18 |  1 decompress_v2_fast.asm     18 | Comment     | 11 |         |    0 | 00/0000               | ;  Permission is granted to anyone to use this software for any purpose,
   19 |  1 decompress_v2_fast.asm     19 | Comment     | 11 |         |    0 | 00/0000               | ;  including commercial applications, and to alter it and redistribute it
   20 |  1 decompress_v2_fast.asm     20 | Comment     | 11 |         |    0 | 00/0000               | ;  freely, subject to the following restrictions:
   21 |  1 decompress_v2_fast.asm     21 | Comment     | 11 |         |    0 | 00/0000               | ;
   22 |  1 decompress_v2_fast.asm     22 | Comment     | 11 |         |    0 | 00/0000               | ;  1. The origin of this software must not be misrepresented; you must not
   23 |  1 decompress_v2_fast.asm     23 | Comment     | 11 |         |    0 | 00/0000               | ;     claim that you wrote the original software. If you use this software
   24 |  1 decompress_v2_fast.asm     24 | Comment     | 11 |         |    0 | 00/0000               | ;     in a product, an acknowledgment in the product documentation would be
   25 |  1 decompress_v2_fast.asm     25 | Comment     | 11 |         |    0 | 00/0000               | ;     appreciated but is not required.
   26 |  1 decompress_v2_fast.asm     26 | Comment     | 11 |         |    0 | 00/0000               | ;  2. Altered source versions must be plainly marked as such, and must not be
   27 |  1 decompress_v2_fast.asm     27 | Comment     | 11 |         |    0 | 00/0000               | ;     misrepresented as being the original software.
   28 |  1 decompress_v2_fast.asm     28 | Comment     | 11 |         |    0 | 00/0000               | ;  3. This notice may not be removed or altered from any source distribution.
   29 |  1 decompress_v2_fast.asm     29 | Comment     | 11 |         |    0 | 00/0000               | ; -----------------------------------------------------------------------------
   30 |  1 decompress_v2_fast.asm     30 | Empty       | 11 |         |    0 | 00/0000               |                                                          
   31 |  1 decompress_v2_fast.asm     31 | Empty       | 11 |         |    0 | 00/0000               |                                                          
   32 |  1 decompress_v2_fast.asm     32 | Empty       | 00 |         |    0 | 00/0000               | DECOMPRESS_LZSA2                                         ;start
   33 |  1 decompress_v2_fast.asm     33 | Empty       | 00 |         |    0 | 00/0000               |                                                          
